"OBJECT_NAME"	"COLUMN_NAME"	"BUSINESS_NAME"	"IS_HUMAN_READABLE"	"IS_IDENTIFIER"	"IS_DEFAULT_SELECT"	"IS_FILTERABLE"	"DISPLAY_RANK"	"CREATED_ON"
"V_SHIPMENT_HEADER"	"SHIPMENT_NUMBER"	"Shipment Number"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.26.966000000 AM
"V_ORDER_HEADER"	"ORDER_NUMBER"	"Order Number"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.003000000 AM
"V_PRODUCT_MASTER"	"PRODUCT_CODE"	"Product Code"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.034000000 AM
"V_PRODUCT_SKU"	"SKU_CODE"	"SKU Code"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.046000000 AM
"V_ORDER_DETAIL"	"ORDER_NUMBER"	"Order Number"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.058000000 AM
"V_ORDER_DETAIL"	"CUSTOMER_ACCOUNT_NUMBER"	"Customer Account Number"	"Y"	"Y"	"Y"	"Y"	30	21-APR-26 12.44.27.062000000 AM
"V_ORDER_DETAIL"	"SKU_CODE"	"SKU Code"	"Y"	"Y"	"Y"	"Y"	60	21-APR-26 12.44.27.068000000 AM
"V_CUSTOMER_ORDER_SUMMARY"	"CUSTOMER_ACCOUNT_NUMBER"	"Customer Account Number"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.084000000 AM
"V_INVENTORY_STATUS"	"SKU_CODE"	"SKU Code"	"Y"	"Y"	"Y"	"Y"	20	21-APR-26 12.44.27.107000000 AM
"V_PAYMENT_TRANSACTION"	"PAYMENT_REFERENCE"	"Payment Reference"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.137000000 AM
"V_CUSTOMER_ACCOUNT"	"CUSTOMER_ACCOUNT_NUMBER"	"Customer Account Number"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.153000000 AM
"V_ORGANIZATION"	"ORGANIZATION_CODE"	"Organization Code"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.167000000 AM
"V_STATUS_CODE_LOOKUP"	"STATUS_CODE"	"Status Code"	"Y"	"Y"	"Y"	"Y"	10	21-APR-26 12.44.27.185000000 AM
